0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/components/landing/_numbers.html HTTP/1.1" 200 1211
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/components/landing/_testimonials.html HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/components/landing/_appointment.html HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/images/arrow-down.png HTTP/1.1" 200 391
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/images/logo-brand.png HTTP/1.1" 200 6044
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/images/client-logos.png HTTP/1.1" 200 7595
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/images/image-service-1.png HTTP/1.1" 200 134329
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/images/image-service-2.png HTTP/1.1" 200 206095
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/images/image-service-3.png HTTP/1.1" 200 138260
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/images/vets/vet4.jpg HTTP/1.1" 200 16796
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/images/vets/vet1.jpg HTTP/1.1" 200 34685
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/images/vets/vet5.jpg HTTP/1.1" 200 29945
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/images/vets/vet6.jpg HTTP/1.1" 200 26567
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/images/vets/vet3.jpg HTTP/1.1" 200 17309
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/images/vets/vet2.jpg HTTP/1.1" 200 19172
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/images/vets/vet8.jpg HTTP/1.1" 200 11018
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/images/vets/vet7.jpg HTTP/1.1" 200 14841
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/images/veterinarian-default.jpg HTTP/1.1" 200 4585
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/styles/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/images/testimonial-tiles.png HTTP/1.1" 200 543842
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/images/bg-appointment.png HTTP/1.1" 200 817320
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:27 +0400] "GET /petclinic/videos/hero.mp4 HTTP/1.1" 206 4940324
